Date of Data,Close,Open,High,Low,Close(Nikkei 225 Net Total Return Index)
2019/02/01, 33971.97 , 33000.51 , 34244.17 , 32277.86 , 31477.17 
2019/03/01, 33960.15 , 34317.53 , 34665.98 , 33324.04 , 31414.77 
2019/04/01, 35646.44 , 34445.74 , 35724.56 , 34439.78 , 32974.68 
2019/05/01, 32992.94 , 35109.94 , 35109.94 , 32992.94 , 30519.88 
2019/06/01, 34152.83 , 32688.16 , 34377.86 , 32684.41 , 31577.90 
2019/07/01, 34549.42 , 34881.69 , 34924.35 , 33784.14 , 31944.15 
2019/08/01, 33262.89 , 34580.66 , 34580.66 , 32525.90 , 30749.90 
2019/09/01, 35207.83 , 33127.65 , 35503.19 , 33127.65 , 32499.86 
2019/10/01, 37104.01 , 35417.24 , 37180.69 , 34537.69 , 34250.04 
2019/11/01, 37701.26 , 36983.56 , 38066.74 , 36983.56 , 34800.68 
2019/12/01, 38352.64 , 38082.56 , 38951.08 , 37444.44 , 35389.89 
2020/01/01, 37623.19 , 37620.24 , 39044.73 , 37254.45 , 34716.32 
2020/02/01, 34304.41 , 37245.03 , 38706.89 , 34304.41 , 31649.32 
2020/03/01, 30978.96 , 34630.73 , 34630.73 , 26856.93 , 28527.64 
2020/04/01, 33069.06 , 29584.36 , 33069.06 , 29180.37 , 30452.49 
2020/05/01, 35827.13 , 32128.52 , 35889.83 , 32128.52 , 32992.30 
2020/06/01, 36547.19 , 36129.27 , 37956.35 , 35258.98 , 33646.34 
2020/07/01, 35596.21 , 36273.43 , 37624.18 , 35596.21 , 32771.41 
2020/08/01, 37954.67 , 36391.98 , 38192.44 , 36391.98 , 34940.03 
2020/09/01, 38259.49 , 37951.90 , 38843.62 , 37778.81 , 35177.57 
2020/10/01, 39009.23 , 38259.49 , 39061.49 , 38003.35 , 35866.92 
