"Date","Price","Open","High","Low","Change %"
"May 09","95.32","98.61","99.75","93.85","-3.29%"
"Apr 09","98.56","98.81","101.45","95.59","-0.30%"
"Mar 09","98.86","97.72","99.69","93.53","1.34%"
"Feb 09","97.55","90.04","98.73","88.59","8.40%"
"Jan 09","89.99","90.72","94.65","87.13","-0.68%"
"Dec 08","90.61","95.50","95.57","87.12","-5.12%"
"Nov 08","95.50","98.66","100.58","93.57","-3.02%"
"Oct 08","98.47","106.03","106.56","90.92","-7.13%"
"Sep 08","106.03","108.33","109.19","103.50","-2.55%"
"Aug 08","108.81","107.88","110.69","107.30","0.91%"
"Jul 08","107.83","106.11","108.39","103.77","1.62%"
"Jun 08","106.11","105.30","108.59","103.86","0.56%"
"May 08","105.52","104.00","105.89","102.57","1.52%"
"Apr 08","103.94","99.89","104.89","99.59","4.12%"
"Mar 08","99.83","103.58","104.20","95.71","-3.89%"
"Feb 08","103.87","106.41","108.63","103.77","-2.34%"
"Jan 08","106.36","111.69","112.06","104.95","-4.49%"
"Dec 07","111.36","111.01","114.67","109.54","0.15%"
"Nov 07","111.19","115.28","115.94","107.20","-3.57%"
"Oct 07","115.31","114.75","117.97","113.23","0.43%"
"Sep 07","114.82","115.72","116.50","112.58","-0.82%"
"Aug 07","115.77","118.50","119.86","111.58","-2.23%"
"Jul 07","118.41","123.00","123.69","118.01","-3.86%"
"Jun 07","123.17","121.73","124.19","120.75","1.18%"
"May 07","121.73","119.40","122.00","119.05","1.89%"
"Apr 07","119.47","117.51","119.89","117.43","1.43%"
"Mar 07","117.79","118.52","118.87","115.13","-0.56%"
"Feb 07","118.45","120.67","122.10","117.48","-1.84%"
"Jan 07","120.67","119.04","122.21","117.96","1.39%"
"Dec 06","119.02","115.78","119.23","114.41","2.80%"
"Nov 06","115.78","116.96","118.59","115.37","-1.00%"
"Oct 06","116.95","118.12","119.89","116.60","-1.04%"
"Sep 06","118.18","117.43","118.29","115.55","0.70%"
"Aug 06","117.36","114.62","117.50","113.96","2.33%"
"Jul 06","114.69","114.31","117.89","113.31","0.22%"
"Jun 06","114.44","112.56","116.71","111.30","1.64%"
"May 06","112.59","113.58","114.19","108.96","-1.11%"
"Apr 06","113.85","117.72","118.92","113.64","-3.25%"
"Mar 06","117.68","115.76","119.22","115.43","1.65%"
"Feb 06","115.77","117.23","119.41","115.64","-1.26%"
"Jan 06","117.25","117.90","118.08","113.40","-0.60%"
"Dec 05","117.96","119.77","121.39","115.50","-1.54%"
"Nov 05","119.81","116.40","119.93","116.35","2.94%"
"Oct 05","116.39","113.46","116.47","112.99","2.55%"
"Sep 05","113.50","110.58","113.69","108.73","2.60%"
"Aug 05","110.62","112.58","112.77","109.01","-1.71%"
"Jul 05","112.55","110.75","113.72","109.85","1.57%"
"Jun 05","110.81","108.51","110.99","106.47","2.10%"
"May 05","108.53","105.03","108.57","104.15","3.69%"
"Apr 05","104.67","107.14","108.89","104.57","-2.28%"
"Mar 05","107.11","104.61","107.69","103.62","2.42%"
"Feb 05","104.58","103.67","106.86","103.32","0.88%"
"Jan 05","103.67","102.69","105.19","101.65","1.17%"
"Dec 04","102.47","102.90","106.19","101.81","-0.43%"
"Nov 04","102.91","105.90","107.29","102.12","-2.72%"
"Oct 04","105.79","110.03","111.46","105.70","-3.85%"
"Sep 04","110.03","109.10","111.73","108.94","0.82%"
"Aug 04","109.14","111.04","112.09","108.71","-2.08%"
"Jul 04","111.46","108.81","112.48","107.53","2.36%"
"Jun 04","108.89","109.42","111.98","106.99","-0.58%"
"May 04","109.52","110.38","114.88","108.28","-0.81%"
"Apr 04","110.41","104.21","111.03","103.46","5.95%"
"Mar 04","104.21","109.04","112.33","103.39","-4.51%"
"Feb 04","109.13","105.70","109.81","105.16","3.24%"
"Jan 04","105.71","107.29","108.27","105.45","-1.62%"
"Dec 03","107.45","109.77","110.02","106.72","-1.97%"
"Nov 03","109.61","109.71","111.48","107.54","-0.31%"
"Oct 03","109.95","111.47","111.54","107.84","-1.37%"
"Sep 03","111.48","116.82","117.71","110.09","-4.63%"
"Aug 03","116.89","120.56","120.68","116.13","-3.08%"
"Jul 03","120.60","119.73","120.64","116.65","0.72%"
"Jun 03","119.74","119.62","120.24","117.16","0.35%"
"May 03","119.32","118.89","119.64","115.06","0.35%"
"Apr 03","118.90","117.99","121.15","117.60","0.75%"
"Mar 03","118.02","118.10","121.87","116.34","-0.08%"
"Feb 03","118.12","119.63","121.77","116.80","-1.49%"
"Jan 03","119.91","118.78","120.60","117.39","1.15%"
"Dec 02","118.55","122.65","125.72","118.29","-3.20%"
"Nov 02","122.47","122.50","123.18","119.09","-0.01%"
"Oct 02","122.48","121.68","125.64","121.64","0.66%"
"Sep 02","121.68","118.49","124.21","116.84","2.78%"
"Aug 02","118.39","119.75","121.35","116.28","-1.13%"
"Jul 02","119.74","119.72","120.75","115.48","0.14%"
"Jun 02","119.57","124.25","125.91","118.34","-3.65%"
"May 02","124.10","128.52","129.07","122.80","-3.45%"
"Apr 02","128.53","132.74","133.83","127.63","-3.17%"
"Mar 02","132.74","133.34","133.87","126.41","-0.44%"
"Feb 02","133.32","134.72","135.05","131.84","-1.04%"
"Jan 02","134.72","131.70","135.16","130.35","2.31%"
"Dec 01","131.68","123.36","132.07","123.25","6.67%"
"Nov 01","123.45","122.49","124.60","119.71","0.80%"
"Oct 01","122.47","119.42","123.38","119.33","2.47%"
"Sep 01","119.52","119.07","122.10","115.75","0.61%"
"Aug 01","118.79","124.98","125.25","118.45","-4.98%"
"Jul 01","125.02","124.72","126.18","122.66","0.31%"
"Jun 01","124.63","119.22","124.96","118.30","4.43%"
"May 01","119.34","123.54","124.10","118.51","-3.46%"
"Apr 01","123.62","126.35","126.87","120.89","-2.14%"
"Mar 01","126.32","117.24","126.34","116.98","7.65%"
"Feb 01","117.34","116.49","118.00","114.28","0.64%"
"Jan 01","116.59","114.43","119.88","113.50","1.87%"
"Dec 00","114.45","110.36","115.10","110.12","3.68%"
"Nov 00","110.39","108.84","111.56","106.81","1.32%"
"Oct 00","108.95","108.12","109.65","107.30","0.77%"
"Sep 00","108.12","106.65","108.54","104.75","1.32%"
"Aug 00","106.71","109.29","109.80","105.88","-2.40%"
"Jul 00","109.33","106.04","109.84","105.25","3.02%"
"Jun 00","106.13","107.63","109.09","103.86","-1.38%"
"May 00","107.61","107.73","110.05","106.01","-0.48%"
"Apr 00","108.13","103.95","108.33","103.18","2.40%"
"Mar 00","105.60","110.17","110.22","104.59","-4.16%"
"Feb 00","110.18","107.27","111.75","107.02","2.72%"
"Jan 00","107.26","102.19","107.54","101.33","4.90%"
"Dec 99","102.25","102.01","103.87","101.23","0.22%"
